id,application_id,name,household_income,employment_status,num_children,child_ages,childcare_hours_requested,housing_situation,partner_employed,recent_municipal_support,flags,eligibility,encoded_num_children,vulnerability,prompt,decision,reason
1,A001,Laura Visser,63506,unemployed,1,[3],137,municipal housing,True,['food aid'],"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",False,1,False,,INCOME_TOO_HIGH,Household income exceeds the maximum threshold for subsidy eligibility.
2,A006,Laura Visser,63506,unemployed,1,[3],127,municipal housing,True,['food aid'],"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",False,1,False,,INCOME_TOO_HIGH,Household income exceeds the maximum threshold for subsidy eligibility.
3,A010,Laura Visser,63506,unemployed,1,[3],123,municipal housing,True,['food aid'],"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",False,1,False,,INCOME_TOO_HIGH,Household income exceeds the maximum threshold for subsidy eligibility.
4,A013,Laura Visser,63506,unemployed,1,[3],111,municipal housing,True,['food aid'],"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",False,1,False,,INCOME_TOO_HIGH,Household income exceeds the maximum threshold for subsidy eligibility.
5,A016,Laura Visser,63506,unemployed,1,[3],122,municipal housing,True,['food aid'],"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",False,1,False,,INCOME_TOO_HIGH,Household income exceeds the maximum threshold for subsidy eligibility.
6,A002,Amina Hassan,20130,unemployed,1,[3],100,temporary shelter,True,['food aid'],"{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",True,1,False,The applicant named XXXX has household income 20130. The applicant requested for 100 childcare hours subsidy.The housing situation is temporary shelter. The partner is also employed. Recent municipal support includes for that person is listed: food aid. ,,
7,A020,Amina Hassan,20130,unemployed,1,[3],62,temporary shelter,True,['food aid'],"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",True,1,False,The applicant named XXXX has household income 20130. The applicant requested for 62 childcare hours subsidy.The housing situation is temporary shelter. The partner is also employed. Recent municipal support includes for that person is listed: food aid. The application has incomplete documents. ,,
8,A003,Raj Patel,22287,part-time,1,[3],71,rental,True,"['housing benefit', 'food aid']","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",True,1,True,"The applicant named XXXX has household income 22287. The applicant requested for 71 childcare hours subsidy.The housing situation is rental. The partner is also employed. Recent municipal support includes for that person is listed: housing benefit, food aid. The application has incomplete documents. ",VULNERABLE,Applicant is considered vulnerable due to unstable housing or recent municipal support.
9,A008,Raj Patel,22287,part-time,1,[3],83,rental,True,"['housing benefit', 'food aid']","{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",True,1,True,"The applicant named XXXX has household income 22287. The applicant requested for 83 childcare hours subsidy.The housing situation is rental. The partner is also employed. Recent municipal support includes for that person is listed: housing benefit, food aid. ",VULNERABLE,Applicant is considered vulnerable due to unstable housing or recent municipal support.
10,A012,Raj Patel,22287,part-time,1,[3],48,rental,True,"['housing benefit', 'food aid']","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",True,1,True,"The applicant named XXXX has household income 22287. The applicant requested for 48 childcare hours subsidy.The housing situation is rental. The partner is also employed. Recent municipal support includes for that person is listed: housing benefit, food aid. The application has incomplete documents. ",VULNERABLE,Applicant is considered vulnerable due to unstable housing or recent municipal support.
